VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Aug-2023,Rio Boutique - STAAH,Rb/ST/23-24/948,Monthly Google Listing,800,STAAH
Sales,Aug-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/949,Monthly Fees C M,5000,STAAH
Sales,Aug-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/949,Monthly Fees  B E,1250,STAAH
Sales,Aug-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/949,Monthly Fees RM,2000,STAAH
Sales,Aug-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/949,Monthly Google Listing,2000,STAAH
Sales,Aug-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/949,Monthly Fee Travel Agent Module,2500,STAAH
Sales,Aug-2023,Riva Gold Coast - STAAH,Rb/ST/23-24/950,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Riva Gold Coast - STAAH,Rb/ST/23-24/950,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Rivasa Resort - STAAH,Rb/ST/23-24/951,Monthly Fees C M,7500,STAAH
Sales,Aug-2023,Rock Valley - STAAH,Rb/ST/23-24/952,Monthly Fees C M,3000,STAAH
Sales,Aug-2023,Rock Valley - STAAH,Rb/ST/23-24/952,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Salcete Beach Resort - STAAH,Rb/ST/23-24/953,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Sandalwood Hotel & Retreat - STAAH,Rb/ST/23-24/954,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Sanskruti Quality Resort - STAAH,Rb/ST/23-24/955,Monthly CM (1),4500,STAAH
Sales,Aug-2023,Santiago Beach Resort (Era) - STAAH,Rb/ST/23-24/956,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Aug-2023,Sea Mist Resorts - STAAH,Rb/ST/23-24/957,Monthly Fees C M,4250,STAAH
Sales,Aug-2023,Sea Mist Resorts - STAAH,Rb/ST/23-24/957,Monthly Fees  B E,2500,STAAH
Sales,Aug-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/958,Monthly Fees C M,5500,STAAH
Sales,Aug-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/958,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/958,Monthly Google Listing,2200,STAAH
Sales,Aug-2023,Sea Shell Villas - STAAH,Rb/ST/23-24/959,Monthly Fees C M,5250,STAAH
Sales,Aug-2023,Sea Shell Villas - STAAH,Rb/ST/23-24/959,Monthly Fees  B E,2750,STAAH
Sales,Aug-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/960,Monthly Fees C M,5000,STAAH
Sales,Aug-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/960,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/960,Monthly Google Listing,2500,STAAH
Sales,Aug-2023,Sibaya Beach Resort - STAAH,Rb/ST/23-24/961,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Sibaya Beach Resort - STAAH,Rb/ST/23-24/961,Monthly Fees  B E,1000,STAAH
Sales,Aug-2023,Silver Sands Hideaway - STAAH,Rb/ST/23-24/962,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Silver Sands Hideaway - STAAH,Rb/ST/23-24/962,Monthly Fees  B E,2250,STAAH
Sales,Aug-2023,Silver Sands Holiday Village - STAAH,Rb/ST/23-24/963,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Silver Sands Holiday Village - STAAH,Rb/ST/23-24/963,Monthly Fees  B E,2250,STAAH
Sales,Aug-2023,Silver Sands Serenity - STAAH,Rb/ST/23-24/964,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Silver Sands Serenity - STAAH,Rb/ST/23-24/964,Monthly Fees  B E,2250,STAAH
Sales,Aug-2023,Silver Sands Sunshine - STAAH,Rb/ST/23-24/965,Monthly Fees C M,5000,STAAH
Sales,Aug-2023,Silver Sands Sunshine - STAAH,Rb/ST/23-24/965,Monthly Fees  B E,2250,STAAH
Sales,Aug-2023,Sinq Properties - STAAH,Rb/ST/23-24/966,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Aug-2023,Sinq Properties - STAAH,Rb/ST/23-24/967,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Aug-2023,Sinq Properties - STAAH,Rb/ST/23-24/968,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Aug-2023,Sinq Properties - STAAH,Rb/ST/23-24/969,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Aug-2023,Sinq Properties - STAAH,Rb/ST/23-24/970,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Aug-2023,Sonesta Inn Pvt. Ltd./Hotel,Rb/ST/23-24/971,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Aug-2023,Sonesta Inn Pvt. Ltd./Hotel,Rb/ST/23-24/971,Monthly Fees RM,2500,STAAH
Sales,Aug-2023,Soul Vacation - STAAH,Rb/ST/23-24/972,Monthly Fees C M,4500,STAAH
