VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Dec-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1795,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1795,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1795,Monthly Fees RM,1000,STAAH
Sales,Dec-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1795,Monthly Google Listing,1000,STAAH
Sales,Dec-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1796,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1796,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1796,Monthly Fees RM,1000,STAAH
Sales,Dec-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1796,Monthly Google Listing,1000,STAAH
Sales,Dec-2023,Nanutel - STAAH,Rb/ST/23-24/1797,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Nanutel - STAAH,Rb/ST/23-24/1797,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Nanutel - STAAH,Rb/ST/23-24/1797,Monthly Fees RM,1000,STAAH
Sales,Dec-2023,Nanutel - STAAH,Rb/ST/23-24/1797,Monthly Google Listing,1000,STAAH
Sales,Dec-2023,Nazri Resort - STAAH,Rb/ST/23-24/1798,Booking Engine & C.M.S. (STAAH),4500,STAAH
Sales,Dec-2023,Neelam's The Grand - STAAH,Rb/ST/23-24/1799,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Neelam's The Grand - STAAH,Rb/ST/23-24/1799,Monthly Fees  B E,2250,STAAH
Sales,Dec-2023,Nilaya Hermitage 1 - STAAH,Rb/ST/23-24/1800,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Nilaya Hermitage 1 - STAAH,Rb/ST/23-24/1800,Monthly Fees  B E,2200,STAAH
Sales,Dec-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/1801,Monthly Fees C M,3500,STAAH
