VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Oct-2023,Sanskruti Quality Resort - STAAH,Rb/ST/23-24/1379,Monthly CM (1),4500,STAAH
Sales,Oct-2023,Sea Mist Resorts - STAAH,Rb/ST/23-24/1380,Monthly Fees C M,4250,STAAH
Sales,Oct-2023,Sea Mist Resorts - STAAH,Rb/ST/23-24/1380,Monthly Fees C M,2500,STAAH
Sales,Oct-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/1381,Monthly Fees C M,5500,STAAH
Sales,Oct-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/1381,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/1381,Monthly Google Listing,2200,STAAH
Sales,Oct-2023,Sea Shell Villas - STAAH,Rb/ST/23-24/1382,Monthly Fees C M,5250,STAAH
Sales,Oct-2023,Sea Shell Villas - STAAH,Rb/ST/23-24/1382,Monthly Fees  B E,2750,STAAH
Sales,Oct-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/1383,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/1383,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/1383,Monthly Google Listing,2500,STAAH
Sales,Oct-2023,Sibaya Beach Resort - STAAH,Rb/ST/23-24/1384,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Sibaya Beach Resort - STAAH,Rb/ST/23-24/1384,Monthly Fees  B E,1000,STAAH
Sales,Oct-2023,Silver Sands Hideaway - STAAH,Rb/ST/23-24/1385,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Silver Sands Hideaway - STAAH,Rb/ST/23-24/1385,Monthly Fees  B E,2250,STAAH
Sales,Oct-2023,Silver Sands Holiday Village - STAAH,Rb/ST/23-24/1386,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Silver Sands Holiday Village - STAAH,Rb/ST/23-24/1386,Monthly Fees  B E,2250,STAAH
Sales,Oct-2023,Silver Sands Serenity - STAAH,Rb/ST/23-24/1387,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Silver Sands Serenity - STAAH,Rb/ST/23-24/1387,Monthly Fees  B E,2250,STAAH
Sales,Oct-2023,Silver Sands Sunshine - STAAH,Rb/ST/23-24/1388,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Silver Sands Sunshine - STAAH,Rb/ST/23-24/1388,Monthly Fees  B E,2250,STAAH
Sales,Oct-2023,Sinq Properties - STAAH,Rb/ST/23-24/1389,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Oct-2023,Sinq Properties - STAAH,Rb/ST/23-24/1390,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Oct-2023,Sinq Properties - STAAH,Rb/ST/23-24/1391,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Oct-2023,Sinq Properties - STAAH,Rb/ST/23-24/1392,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Oct-2023,Sinq Properties - STAAH,Rb/ST/23-24/1393,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Oct-2023,Sonesta Inn Pvt. Ltd./Hotel,Rb/ST/23-24/1394,Booking Engine & C.M.S. (STAAH),7500,STAAH
Sales,Oct-2023,Soul Vacation - STAAH,Rb/ST/23-24/1395,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Soul Vacation - STAAH,Rb/ST/23-24/1395,Monthly Fees  B E,1000,STAAH
Sales,Oct-2023,Span Suites & Villas - STAAH,Rb/ST/23-24/1396,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Span Suites & Villas - STAAH,Rb/ST/23-24/1396,Monthly Fees  B E,2250,STAAH
Sales,Oct-2023,Spazio Leisure Resort -  STAAH (New),Rb/ST/23-24/1397,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Oct-2023,Stonewoods Beach Resort & Spa - STAAH,Rb/ST/23-24/1398,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Stone Woods Nature Resort - STAAH New,Rb/ST/23-24/1399,Monthly CM (1),4000,STAAH
Sales,Oct-2023,Stone Wood Riverfront Resort - STAAH,Rb/ST/23-24/1400,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Stone Wood Resort & Spa - STAAH,Rb/ST/23-24/1401,Monthly Fees C M,4000,STAAH
